Route,Border type or inland,Nationality,OCT2013,NOV2013,DEC2013,JAN2014,FEB2014,MAR2014,APR2014,MAY2014,JUN2014,JUL2014,AUG2014,SEP2014,OCT2014,NOV2014,DEC2014,TOTAL
,,SUM,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
Central Mediterranean Route,Sea,Belize,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Central Mediterranean Route,Sea,Burundi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Central Mediterranean Route,Sea,Djibouti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Central Mediterranean Route,Sea,Georgia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Central Mediterranean Route,Sea,Myanmar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Central Mediterranean Route,Sea,South Africa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Central Mediterranean Route,Sea,Uganda,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Central Mediterranean Route,Sea,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Central Mediterranean Route,Sea,Uzbekistan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Central Mediterranean Route,Sea,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Central Mediterranean Route,Sea,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Kosovo*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Stateless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Third-country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Mediterranean Route,Sea,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
